Stvarne_cijene,Predvidjene_cijene
10446.020508142858,9406.599567433424
10464.302455285713,8759.370624550973
10843.117048,9499.763382175419
10682.750837,10197.327160023618
10656.653738857143,9995.16502641454
11187.27399557143,9873.516966282514
11535.25892857143,10791.264531060611
13084.260463285715,10735.274651779939
13610.65499442857,11403.214054335906
15173.710798,12110.06609045405
16382.962332714285,13589.910998533625
18389.461495571428,14130.239461569045
18187.839844,15346.018882999444
19051.197544714287,15565.864431391687
18783.938895285715,15877.530341457828
23026.708426285713,14365.76369633308
25542.666294714287,16152.142979810633
31155.780134142853,19426.76707842224
37870.517299142855,24113.43446004593
36856.90736628572,28072.672361033216
32667.49637271429,30807.59696827212
33520.91127242857,28746.667753586382
40484.21261171428,25366.593040320044
47614.300223428574,27657.49405714609
53769.73549128572,32791.16076822739
47496.485491142856,37826.35826008844
50745.20424142857,37066.655502353686
57771.89508942857,37339.55319531193
57168.80357142857,35747.81403841367
55458.26953128572,36636.967145244525
58715.94810271428,36142.622021381445
59430.42912942857,34692.00814377784
59584.82812528572,34816.49132693335
52124.57254485715,35142.139030033504
55874.70703128572,35203.29559798766
57253.91294657143,36260.33283291786
46915.77455357143,35530.23924874332
37786.469866,35304.436521612064
36820.107142857145,35562.3225041913
36018.00390628572,35223.75332886618
38093.891183142856,30003.04150018471
35383.47628342857,25133.504883113717
33880.182756857146,23241.862156307045
34349.64676357143,23480.09990023832
33449.89871657143,22742.808295947867
31425.667968714286,21629.984504902877
34913.20842628572,20420.51950291418
40170.841518,21065.373175167046
43391.13002242857,24184.358140828954
46094.148437714284,27668.211278226794
48048.19308057143,29615.93319448981
48130.797433142856,29638.279740572987
49906.11774542857,29033.509235248563
45812.43080357143,28688.733952822455
46043.32645071428,28340.652293679956
42929.25167428572,28966.899045928873
47144.47935257143,27655.491228951218
55200.13281257143,28284.915143194274
60721.491071714285,31322.810269778518
62089.049107428575,36306.26486624461
61253.012276857145,38412.02398868495
63563.01116071428,36890.20899868879
63965.231027,35247.33501567674
58245.10881728572,34833.247436062724
56285.77120528572,35232.06487585324
52451.16462057143,35604.2450806953
48318.739955714285,34281.07872399293
47448.139508857144,33215.30049314583
49957.699219,31279.538539556914
46759.57198685715,29954.27434383449
42355.785156428574,28375.939314153133
42936.83314757142,28066.397846138094
37685.34988842857,28227.406990927167
37865.26674128572,26568.882824790882
41060.112723428574,25971.12791879801
43130.85044642857,25179.623137657818
41164.31933625,25944.44507865346
