Stvarne_cijene,Predvidjene_cijene
10660.276855533333,9719.43796778475
11886.978200645162,9575.382823927117
16645.757421966664,10096.59648510503
21983.13709683871,12951.068309446322
34761.649949709674,15724.209915331887
46306.79896778572,22041.919904543214
54998.00869467742,27428.594969693007
57206.7200522,30601.627096822514
46443.286668387096,32178.09543828246
35845.15468756667,30787.89959069529
34444.97379035484,28286.94183212262
45709.02268161291,26456.74646119787
45939.77148433333,26946.824421807232
57911.970514258064,26294.787907077185
60621.488802199994,28511.889867466347
49263.20917354839,30463.08623212109
41114.42237919355,29537.49359923723
41723.015419578944,29193.617823945475
