Stvarne_cijene,Predvidjene_cijene
10446.020508142858,9953.02772544563
10464.302455285713,10925.397013621758
10843.117048,11540.766926603657
10682.750837,10847.289564346604
10656.653738857143,11511.4408853025
11187.27399557143,12112.394805779299
11535.25892857143,11543.422479167539
13084.260463285715,10951.067988478104
13610.65499442857,11966.259605672714
15173.710798,12902.238797695285
16382.962332714285,13708.97571432891
18389.461495571428,14527.406563326127
18187.839844,16344.78502873632
19051.197544714287,16919.73543646863
18783.938895285715,15930.914073803717
23026.708426285713,15157.761583655978
25542.666294714287,18641.272682083156
31155.780134142853,22060.64577286192
37870.517299142855,26236.438047257096
36856.90736628572,32552.740603511756
32667.49637271429,31869.96811092813
33520.91127242857,30391.05620915186
40484.21261171428,29872.528930063057
47614.300223428574,32775.58279333029
53769.73549128572,37690.69800345835
47496.485491142856,40411.40899124979
50745.20424142857,39584.305554129816
57771.89508942857,37035.11570882575
57168.80357142857,39446.79828705815
55458.26953128572,39290.30785711481
58715.94810271428,37217.29326546572
59430.42912942857,37620.77383655625
59584.82812528572,38254.96729422352
52124.57254485715,38114.96314266603
55874.70703128572,39136.62594716389
57253.91294657143,38823.599482081125
46915.77455357143,38937.616272734405
37786.469866,39779.834031924576
36820.107142857145,41798.39601944446
36018.00390628572,36556.06352738422
38093.891183142856,29591.422301808958
35383.47628342857,27734.074682460545
33880.182756857146,26801.50542895381
34349.64676357143,26490.968247490848
33449.89871657143,24580.764205876316
31425.667968714286,22861.571827427317
34913.20842628572,22470.934819685102
40170.841518,23493.74915538419
43391.13002242857,27415.691507053925
46094.148437714284,30209.634938680352
48048.19308057143,30924.97144148739
48130.797433142856,31441.887336981075
49906.11774542857,30693.58587826835
45812.43080357143,31382.752599386826
46043.32645071428,31684.33596068449
42929.25167428572,31642.569201933795
47144.47935257143,30393.545492771667
55200.13281257143,30844.402261731728
60721.491071714285,36285.59051068466
62089.049107428575,40083.48482877823
61253.012276857145,39525.69527629058
63563.01116071428,37277.8949702008
63965.231027,37144.0399192492
58245.10881728572,37596.937520734195
56285.77120528572,38239.15749291297
52451.16462057143,38487.2535600653
48318.739955714285,37080.66009798575
47448.139508857144,35837.188821447344
49957.699219,33715.75671328472
46759.57198685715,31659.00607469055
42355.785156428574,31127.804351522263
42936.83314757142,32256.892095622177
37685.34988842857,30603.37499997306
37865.26674128572,29551.7951868414
41060.112723428574,28377.482289954114
43130.85044642857,27400.11543237333
41164.31933625,28167.37915157619
