Stvarne_cijene,Predvidjene_cijene
10446.020508142858,9826.313
10464.302455285713,10231.075
10843.117048,10611.513
10682.750837,10676.423
10656.653738857143,11336.194
11187.27399557143,12134.459
11535.25892857143,12300.786
13084.260463285715,12080.858
13610.65499442857,12202.223
15173.710798,12557.988
16382.962332714285,12569.574
18389.461495571428,12516.404
18187.839844,13568.516
19051.197544714287,14627.505
18783.938895285715,14968.811
23026.708426285713,15076.693
25542.666294714287,16223.6875
31155.780134142853,17441.65
37870.517299142855,19176.768
36856.90736628572,22022.914
32667.49637271429,23689.256
33520.91127242857,25058.098
40484.21261171428,26016.348
47614.300223428574,27210.932
53769.73549128572,28423.848
47496.485491142856,29355.77
50745.20424142857,30305.725
57771.89508942857,30222.879
57168.80357142857,31433.393
55458.26953128572,32000.482
58715.94810271428,32220.242
59430.42912942857,32489.525
59584.82812528572,32452.395
52124.57254485715,33094.203
55874.70703128572,32388.852
57253.91294657143,32263.32
46915.77455357143,32684.316
37786.469866,31915.334
36820.107142857145,30823.3
36018.00390628572,28953.549
38093.891183142856,27957.303
35383.47628342857,27494.967
33880.182756857146,26191.168
34349.64676357143,24811.754
33449.89871657143,23318.975
31425.667968714286,22594.479
34913.20842628572,21760.508
40170.841518,21231.03
43391.13002242857,21308.314
46094.148437714284,22068.57
48048.19308057143,23115.994
48130.797433142856,24530.16
49906.11774542857,25786.09
45812.43080357143,27019.168
46043.32645071428,27296.02
42929.25167428572,27278.475
47144.47935257143,27001.691
55200.13281257143,27041.453
60721.491071714285,27998.822
62089.049107428575,28899.795
61253.012276857145,29887.814
63563.01116071428,30824.885
63965.231027,31753.506
58245.10881728572,32504.64
56285.77120528572,32262.654
52451.16462057143,31772.23
48318.739955714285,31200.73
47448.139508857144,30047.396
49957.699219,29120.697
46759.57198685715,28319.799
42355.785156428574,27640.504
42936.83314757142,26779.842
37685.34988842857,25774.156
37865.26674128572,25059.76
41060.112723428574,24151.607
43130.85044642857,23789.713
41164.31933625,23477.588
