Stvarne_cijene,Predvidjene_cijene
10660.276855533333,8426.656
11886.978200645162,9119.45
16645.757421966664,10593.053
21983.13709683871,11914.651
34761.649949709674,12836.819
46306.79896778572,15814.986
54998.00869467742,19939.3
57206.7200522,23815.062
46443.286668387096,24628.807
35845.15468756667,24142.033
34444.97379035484,23310.96
45709.02268161291,20270.654
45939.77148433333,16996.24
57911.970514258064,17163.037
60621.488802199994,19393.217
49263.20917354839,20506.72
41114.42237919355,21097.248
41723.015419578944,19812.854
